,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128,m129,m130,m131,m132,m133,m134,m135,m136,m137,m138,m139,m140,m141,m142,m143,m144,m145,m146,m147,m148,m149,m150,m151,m152,m153,m154,m155,m156,m157,m158,m159,m160,m161,m162,m163,m164,m165,m166,m167,m168,m169
m41,30.0,40.0,25.0,43.0,26.0,44.0,36.0,34.0,53.0,7.0,11.0,13.0,19.0,32.0,69.0,21.0,36.0,5.0,38.0,27.0,33.0,39.0,32.0,22.0,21.0,28.0,47.0,4.0,10.0,16.0,49.0,18.0,32.0,1.0,19.0,36.0,38.0,13.0,22.0,60.0,40.0,32.0,51.0,3.0,12.0,53.0,45.0,27.0,36.0,47.0,2.0,63.0,29.0,9.0,18.0,55.0,28.0,37.0,15.0,4.0,29.0,0.0,24.0,39.0,57.0,7.0,16.0,6.0,30.0,5.0,12.0,31.0,18.0,32.0,3.0,13.0,19.0,55.0,21.0,37.0,4.0,66.0,59.0,53.0,61.0,45.0,63.0,32.0,23.0,29.0,19.0,20.0,25.0,23.0,46.0,21.0,30.0,20.0,19.0,26.0,17.0,27.0,18.0,33.0,25.0,35.0,27.0,27.0,35.0,25.0,35.0,34.0,37.0,13.0,9.0,10.0,6.0,15.0,5.0,29.0,4.0,11.0,30.0,17.0,31.0,2.0,12.0,18.0,20.0,3.0,53.0,51.0,43.0,48.0,46.0,33.0,30.0,28.0,33.0,52.0,50.0,57.0,54.0,39.0,36.0,40.0,35.0,37.0,46.0,41.0,39.0,40.0,38.0,58.0,55.0,43.0,41.0,16.0,46.0,43.0,45.0,42.0,48.0,45.0,64.0,57.0,59.0,61.0,59.0,52.0,54.0,56.0,28.0,24.0,26.0,36.0,6.0,60.0,42.0,61.0,5.0,43.0,49.0,48.0,51.0,67.0,62.0,12.0,3.0,18.0
m42,24.0,28.0,31.0,23.0,26.0,20.0,38.0,22.0,29.0,31.0,13.0,17.0,13.0,8.0,45.0,15.0,26.0,27.0,14.0,33.0,21.0,27.0,12.0,22.0,23.0,16.0,23.0,28.0,14.0,10.0,25.0,12.0,22.0,23.0,25.0,16.0,18.0,11.0,2.0,36.0,20.0,20.0,27.0,21.0,12.0,29.0,21.0,21.0,12.0,23.0,22.0,39.0,31.0,15.0,6.0,31.0,22.0,13.0,9.0,26.0,23.0,24.0,0.0,15.0,33.0,25.0,8.0,18.0,18.0,19.0,12.0,19.0,6.0,20.0,21.0,11.0,7.0,31.0,9.0,25.0,20.0,42.0,35.0,29.0,37.0,21.0,39.0,34.0,29.0,15.0,5.0,24.0,27.0,29.0,22.0,27.0,10.0,20.0,21.0,14.0,23.0,13.0,22.0,9.0,1.0,11.0,3.0,29.0,37.0,31.0,11.0,10.0,13.0,19.0,15.0,14.0,26.0,9.0,19.0,19.0,20.0,13.0,20.0,7.0,21.0,22.0,12.0,8.0,10.0,21.0,29.0,27.0,19.0,24.0,22.0,33.0,30.0,28.0,19.0,28.0,26.0,33.0,30.0,27.0,24.0,26.0,21.0,23.0,26.0,17.0,15.0,16.0,14.0,34.0,31.0,19.0,17.0,14.0,22.0,19.0,21.0,18.0,24.0,21.0,40.0,33.0,35.0,37.0,35.0,28.0,30.0,32.0,32.0,28.0,30.0,36.0,24.0,36.0,30.0,37.0,25.0,29.0,25.0,24.0,27.0,43.0,38.0,18.0,27.0,12.0
m43,9.0,13.0,46.0,38.0,41.0,11.0,53.0,37.0,18.0,46.0,28.0,32.0,26.0,23.0,30.0,24.0,11.0,42.0,1.0,48.0,6.0,12.0,27.0,37.0,38.0,31.0,12.0,43.0,29.0,23.0,10.0,21.0,7.0,38.0,40.0,31.0,33.0,26.0,17.0,21.0,35.0,35.0,16.0,36.0,27.0,14.0,10.0,12.0,3.0,8.0,37.0,24.0,46.0,30.0,21.0,16.0,11.0,2.0,24.0,41.0,10.0,39.0,15.0,0.0,18.0,40.0,23.0,33.0,9.0,34.0,27.0,8.0,21.0,7.0,36.0,26.0,20.0,16.0,18.0,10.0,35.0,27.0,20.0,14.0,22.0,6.0,24.0,49.0,44.0,30.0,20.0,39.0,42.0,44.0,13.0,42.0,25.0,35.0,36.0,29.0,38.0,28.0,37.0,22.0,14.0,20.0,12.0,44.0,52.0,46.0,24.0,25.0,22.0,34.0,30.0,29.0,41.0,24.0,34.0,10.0,35.0,28.0,9.0,22.0,8.0,37.0,27.0,21.0,19.0,36.0,14.0,12.0,4.0,11.0,9.0,48.0,45.0,43.0,34.0,19.0,17.0,24.0,21.0,42.0,39.0,41.0,36.0,38.0,41.0,30.0,28.0,31.0,29.0,23.0,20.0,28.0,26.0,29.0,35.0,32.0,36.0,33.0,33.0,30.0,25.0,18.0,20.0,22.0,22.0,15.0,17.0,19.0,47.0,43.0,45.0,51.0,39.0,27.0,45.0,26.0,40.0,44.0,38.0,39.0,36.0,28.0,25.0,33.0,42.0,27.0
m44,27.0,31.0,44.0,20.0,31.0,13.0,35.0,23.0,4.0,64.0,46.0,50.0,44.0,25.0,12.0,42.0,29.0,60.0,19.0,30.0,24.0,30.0,25.0,35.0,36.0,29.0,10.0,61.0,47.0,41.0,8.0,39.0,25.0,56.0,38.0,21.0,19.0,44.0,35.0,3.0,17.0,25.0,6.0,54.0,45.0,4.0,12.0,30.0,21.0,10.0,55.0,6.0,28.0,48.0,39.0,2.0,29.0,20.0,42.0,59.0,28.0,57.0,33.0,18.0,0.0,58.0,41.0,51.0,27.0,52.0,45.0,26.0,39.0,25.0,54.0,44.0,38.0,14.0,36.0,28.0,53.0,9.0,10.0,16.0,8.0,24.0,6.0,31.0,42.0,28.0,38.0,37.0,32.0,34.0,11.0,44.0,27.0,37.0,38.0,31.0,40.0,30.0,39.0,24.0,32.0,22.0,30.0,30.0,34.0,32.0,22.0,23.0,20.0,52.0,48.0,47.0,59.0,42.0,52.0,28.0,53.0,46.0,27.0,40.0,26.0,55.0,45.0,39.0,37.0,54.0,12.0,14.0,22.0,9.0,11.0,30.0,27.0,29.0,24.0,5.0,7.0,6.0,3.0,24.0,21.0,23.0,22.0,20.0,23.0,16.0,18.0,17.0,19.0,5.0,2.0,14.0,16.0,47.0,17.0,14.0,18.0,15.0,15.0,12.0,7.0,8.0,6.0,4.0,4.0,5.0,3.0,1.0,29.0,33.0,31.0,33.0,57.0,9.0,27.0,8.0,58.0,26.0,20.0,21.0,18.0,10.0,7.0,51.0,60.0,45.0
m45,37.0,41.0,18.0,44.0,27.0,45.0,37.0,35.0,54.0,6.0,12.0,20.0,26.0,33.0,70.0,28.0,39.0,12.0,39.0,28.0,34.0,40.0,33.0,23.0,22.0,29.0,48.0,3.0,17.0,23.0,50.0,25.0,35.0,8.0,20.0,37.0,39.0,20.0,23.0,61.0,41.0,33.0,52.0,10.0,13.0,54.0,46.0,34.0,37.0,48.0,9.0,64.0,30.0,16.0,19.0,56.0,35.0,38.0,22.0,11.0,36.0,7.0,25.0,40.0,58.0,0.0,17.0,7.0,31.0,6.0,13.0,32.0,19.0,33.0,4.0,14.0,20.0,56.0,22.0,38.0,5.0,67.0,60.0,54.0,62.0,46.0,64.0,33.0,16.0,30.0,20.0,21.0,26.0,24.0,47.0,14.0,31.0,21.0,20.0,27.0,18.0,28.0,19.0,34.0,26.0,36.0,28.0,28.0,36.0,26.0,36.0,35.0,38.0,6.0,10.0,11.0,1.0,18.0,8.0,32.0,7.0,14.0,33.0,20.0,34.0,5.0,15.0,21.0,23.0,6.0,54.0,52.0,44.0,49.0,47.0,34.0,31.0,29.0,34.0,53.0,51.0,58.0,55.0,40.0,37.0,41.0,36.0,38.0,47.0,42.0,40.0,41.0,39.0,59.0,56.0,44.0,42.0,23.0,47.0,44.0,46.0,43.0,49.0,46.0,65.0,58.0,60.0,62.0,60.0,53.0,55.0,57.0,29.0,25.0,27.0,37.0,13.0,61.0,43.0,62.0,12.0,44.0,50.0,49.0,52.0,68.0,63.0,19.0,10.0,25.0
m46,20.0,24.0,35.0,27.0,30.0,28.0,42.0,26.0,37.0,23.0,17.0,9.0,9.0,16.0,53.0,11.0,22.0,19.0,22.0,37.0,17.0,23.0,16.0,26.0,27.0,20.0,31.0,20.0,6.0,6.0,33.0,8.0,18.0,15.0,29.0,20.0,22.0,3.0,6.0,44.0,24.0,24.0,35.0,13.0,16.0,37.0,29.0,17.0,20.0,31.0,14.0,47.0,35.0,7.0,10.0,39.0,18.0,21.0,5.0,18.0,19.0,16.0,8.0,23.0,41.0,17.0,0.0,10.0,14.0,11.0,4.0,15.0,2.0,16.0,13.0,3.0,3.0,39.0,5.0,21.0,12.0,50.0,43.0,37.0,45.0,29.0,47.0,38.0,33.0,19.0,9.0,28.0,31.0,33.0,30.0,31.0,14.0,24.0,25.0,18.0,27.0,17.0,26.0,17.0,9.0,19.0,11.0,33.0,41.0,35.0,19.0,18.0,21.0,23.0,19.0,18.0,18.0,1.0,11.0,15.0,12.0,5.0,16.0,3.0,17.0,14.0,4.0,4.0,6.0,13.0,37.0,35.0,27.0,32.0,30.0,37.0,34.0,32.0,23.0,36.0,34.0,41.0,38.0,31.0,28.0,30.0,25.0,27.0,30.0,25.0,23.0,24.0,22.0,42.0,39.0,27.0,25.0,6.0,30.0,27.0,29.0,26.0,32.0,29.0,48.0,41.0,43.0,45.0,43.0,36.0,38.0,40.0,36.0,32.0,34.0,40.0,16.0,44.0,34.0,45.0,17.0,33.0,33.0,32.0,35.0,51.0,46.0,10.0,19.0,8.0
m47,30.0,34.0,25.0,37.0,20.0,38.0,32.0,28.0,47.0,13.0,7.0,13.0,19.0,26.0,63.0,21.0,32.0,9.0,32.0,27.0,27.0,33.0,26.0,16.0,17.0,22.0,41.0,10.0,10.0,16.0,43.0,18.0,28.0,5.0,19.0,30.0,32.0,13.0,16.0,54.0,34.0,26.0,45.0,3.0,6.0,47.0,39.0,27.0,30.0,41.0,4.0,57.0,25.0,9.0,12.0,49.0,28.0,31.0,15.0,8.0,29.0,6.0,18.0,33.0,51.0,7.0,10.0,0.0,24.0,1.0,6.0,25.0,12.0,26.0,3.0,7.0,13.0,49.0,15.0,31.0,2.0,60.0,53.0,47.0,55.0,39.0,57.0,28.0,23.0,23.0,13.0,18.0,21.0,23.0,40.0,21.0,24.0,14.0,15.0,20.0,17.0,21.0,16.0,27.0,19.0,29.0,21.0,23.0,31.0,25.0,29.0,28.0,31.0,13.0,9.0,8.0,8.0,11.0,1.0,25.0,2.0,7.0,26.0,13.0,27.0,4.0,8.0,14.0,16.0,3.0,47.0,45.0,37.0,42.0,40.0,27.0,24.0,22.0,27.0,46.0,44.0,51.0,48.0,33.0,30.0,34.0,29.0,31.0,40.0,35.0,33.0,34.0,32.0,52.0,49.0,37.0,35.0,16.0,40.0,37.0,39.0,36.0,42.0,39.0,58.0,51.0,53.0,55.0,53.0,46.0,48.0,50.0,26.0,22.0,24.0,30.0,6.0,54.0,36.0,55.0,7.0,37.0,43.0,42.0,45.0,61.0,56.0,12.0,9.0,18.0
m48,6.0,10.0,49.0,41.0,44.0,14.0,56.0,40.0,23.0,37.0,31.0,23.0,17.0,26.0,39.0,15.0,8.0,33.0,8.0,51.0,3.0,9.0,30.0,40.0,41.0,34.0,17.0,34.0,20.0,14.0,19.0,12.0,4.0,29.0,43.0,34.0,36.0,17.0,20.0,30.0,38.0,38.0,21.0,27.0,30.0,23.0,15.0,3.0,6.0,17.0,28.0,33.0,49.0,21.0,24.0,25.0,4.0,7.0,15.0,32.0,5.0,30.0,18.0,9.0,27.0,31.0,14.0,24.0,0.0,25.0,18.0,1.0,12.0,2.0,27.0,17.0,11.0,25.0,9.0,7.0,26.0,36.0,29.0,23.0,31.0,15.0,33.0,52.0,47.0,33.0,23.0,42.0,45.0,47.0,16.0,45.0,28.0,38.0,39.0,32.0,41.0,31.0,40.0,25.0,17.0,23.0,15.0,47.0,55.0,49.0,27.0,28.0,25.0,37.0,33.0,32.0,32.0,15.0,25.0,1.0,26.0,19.0,2.0,13.0,3.0,28.0,18.0,12.0,10.0,27.0,23.0,21.0,13.0,18.0,16.0,51.0,48.0,46.0,37.0,22.0,20.0,27.0,24.0,45.0,42.0,44.0,39.0,41.0,44.0,33.0,31.0,34.0,32.0,28.0,25.0,31.0,29.0,20.0,38.0,35.0,39.0,36.0,36.0,33.0,34.0,27.0,29.0,31.0,29.0,22.0,24.0,26.0,50.0,46.0,48.0,54.0,30.0,30.0,48.0,31.0,31.0,47.0,41.0,42.0,39.0,37.0,32.0,24.0,33.0,18.0
m49,31.0,35.0,24.0,38.0,21.0,39.0,31.0,29.0,48.0,12.0,6.0,14.0,20.0,27.0,64.0,22.0,33.0,8.0,33.0,26.0,28.0,34.0,27.0,17.0,16.0,23.0,42.0,9.0,11.0,17.0,44.0,19.0,29.0,4.0,18.0,31.0,33.0,14.0,17.0,55.0,35.0,27.0,46.0,4.0,7.0,48.0,40.0,28.0,31.0,42.0,3.0,58.0,24.0,10.0,13.0,50.0,29.0,32.0,16.0,7.0,30.0,5.0,19.0,34.0,52.0,6.0,11.0,1.0,25.0,0.0,7.0,26.0,13.0,27.0,2.0,8.0,14.0,50.0,16.0,32.0,1.0,61.0,54.0,48.0,56.0,40.0,58.0,27.0,22.0,24.0,14.0,17.0,20.0,22.0,41.0,20.0,25.0,15.0,14.0,21.0,16.0,22.0,15.0,28.0,20.0,30.0,22.0,22.0,30.0,24.0,30.0,29.0,32.0,12.0,8.0,7.0,7.0,12.0,2.0,26.0,1.0,8.0,27.0,14.0,28.0,3.0,9.0,15.0,17.0,2.0,48.0,46.0,38.0,43.0,41.0,28.0,25.0,23.0,28.0,47.0,45.0,52.0,49.0,34.0,31.0,35.0,30.0,32.0,41.0,36.0,34.0,35.0,33.0,53.0,50.0,38.0,36.0,17.0,41.0,38.0,40.0,37.0,43.0,40.0,59.0,52.0,54.0,56.0,54.0,47.0,49.0,51.0,25.0,21.0,23.0,31.0,7.0,55.0,37.0,56.0,6.0,38.0,44.0,43.0,46.0,62.0,57.0,13.0,8.0,19.0
m50,24.0,28.0,31.0,31.0,26.0,32.0,38.0,22.0,41.0,19.0,13.0,7.0,13.0,20.0,57.0,15.0,26.0,15.0,26.0,33.0,21.0,27.0,20.0,22.0,23.0,16.0,35.0,16.0,4.0,10.0,37.0,12.0,22.0,11.0,25.0,24.0,26.0,7.0,10.0,48.0,28.0,20.0,39.0,9.0,12.0,41.0,33.0,21.0,24.0,35.0,10.0,51.0,31.0,3.0,6.0,43.0,22.0,25.0,9.0,14.0,23.0,12.0,12.0,27.0,45.0,13.0,4.0,6.0,18.0,7.0,0.0,19.0,6.0,20.0,9.0,1.0,7.0,43.0,9.0,25.0,8.0,54.0,47.0,41.0,49.0,33.0,51.0,34.0,29.0,17.0,7.0,24.0,27.0,29.0,34.0,27.0,18.0,20.0,21.0,14.0,23.0,15.0,22.0,21.0,13.0,23.0,15.0,29.0,37.0,31.0,23.0,22.0,25.0,19.0,15.0,14.0,14.0,5.0,7.0,19.0,8.0,1.0,20.0,7.0,21.0,10.0,2.0,8.0,10.0,9.0,41.0,39.0,31.0,36.0,34.0,33.0,30.0,28.0,21.0,40.0,38.0,45.0,42.0,27.0,24.0,28.0,23.0,25.0,34.0,29.0,27.0,28.0,26.0,46.0,43.0,31.0,29.0,10.0,34.0,31.0,33.0,30.0,36.0,33.0,52.0,45.0,47.0,49.0,47.0,40.0,42.0,44.0,32.0,28.0,30.0,36.0,12.0,48.0,30.0,49.0,13.0,31.0,37.0,36.0,39.0,55.0,50.0,6.0,15.0,12.0
m51,5.0,9.0,50.0,42.0,45.0,15.0,57.0,41.0,22.0,38.0,32.0,24.0,18.0,27.0,38.0,16.0,7.0,34.0,7.0,52.0,2.0,8.0,31.0,41.0,42.0,35.0,16.0,35.0,21.0,15.0,18.0,13.0,3.0,30.0,44.0,35.0,37.0,18.0,21.0,29.0,39.0,39.0,20.0,28.0,31.0,22.0,14.0,4.0,7.0,16.0,29.0,32.0,50.0,22.0,25.0,24.0,3.0,6.0,16.0,33.0,4.0,31.0,19.0,8.0,26.0,32.0,15.0,25.0,1.0,26.0,19.0,0.0,13.0,1.0,28.0,18.0,12.0,24.0,10.0,6.0,27.0,35.0,28.0,22.0,30.0,14.0,32.0,53.0,48.0,34.0,24.0,43.0,46.0,48.0,17.0,46.0,29.0,39.0,40.0,33.0,42.0,32.0,41.0,26.0,18.0,24.0,16.0,48.0,56.0,50.0,28.0,29.0,26.0,38.0,34.0,33.0,33.0,16.0,26.0,2.0,27.0,20.0,1.0,14.0,2.0,29.0,19.0,13.0,11.0,28.0,22.0,20.0,12.0,17.0,15.0,52.0,49.0,47.0,38.0,23.0,21.0,28.0,25.0,46.0,43.0,45.0,40.0,42.0,45.0,34.0,32.0,35.0,33.0,27.0,24.0,32.0,30.0,21.0,39.0,36.0,40.0,37.0,37.0,34.0,33.0,26.0,28.0,30.0,28.0,21.0,23.0,25.0,51.0,47.0,49.0,55.0,31.0,31.0,49.0,30.0,32.0,48.0,42.0,43.0,40.0,36.0,31.0,25.0,34.0,19.0
m52,18.0,22.0,37.0,29.0,32.0,26.0,44.0,28.0,35.0,25.0,19.0,11.0,7.0,14.0,51.0,9.0,20.0,21.0,20.0,39.0,15.0,21.0,18.0,28.0,29.0,22.0,29.0,22.0,8.0,4.0,31.0,6.0,16.0,17.0,31.0,22.0,24.0,5.0,8.0,42.0,26.0,26.0,33.0,15.0,18.0,35.0,27.0,15.0,18.0,29.0,16.0,45.0,37.0,9.0,12.0,37.0,16.0,19.0,3.0,20.0,17.0,18.0,6.0,21.0,39.0,19.0,2.0,12.0,12.0,13.0,6.0,13.0,0.0,14.0,15.0,5.0,1.0,37.0,3.0,19.0,14.0,48.0,41.0,35.0,43.0,27.0,45.0,40.0,35.0,21.0,11.0,30.0,33.0,35.0,28.0,33.0,16.0,26.0,27.0,20.0,29.0,19.0,28.0,15.0,7.0,17.0,9.0,35.0,43.0,37.0,17.0,16.0,19.0,25.0,21.0,20.0,20.0,3.0,13.0,13.0,14.0,7.0,14.0,1.0,15.0,16.0,6.0,2.0,4.0,15.0,35.0,33.0,25.0,30.0,28.0,39.0,36.0,34.0,25.0,34.0,32.0,39.0,36.0,33.0,30.0,32.0,27.0,29.0,32.0,23.0,21.0,22.0,20.0,40.0,37.0,25.0,23.0,8.0,28.0,25.0,27.0,24.0,30.0,27.0,46.0,39.0,41.0,43.0,41.0,34.0,36.0,38.0,38.0,34.0,36.0,42.0,18.0,42.0,36.0,43.0,19.0,35.0,31.0,30.0,33.0,49.0,44.0,12.0,21.0,6.0
m53,4.0,8.0,51.0,43.0,46.0,16.0,58.0,42.0,23.0,39.0,33.0,25.0,19.0,28.0,37.0,17.0,6.0,35.0,6.0,53.0,1.0,7.0,32.0,42.0,43.0,36.0,17.0,36.0,22.0,16.0,17.0,14.0,2.0,31.0,45.0,36.0,38.0,19.0,22.0,28.0,40.0,40.0,21.0,29.0,32.0,21.0,15.0,5.0,8.0,15.0,30.0,31.0,51.0,23.0,26.0,23.0,4.0,7.0,17.0,34.0,3.0,32.0,20.0,7.0,25.0,33.0,16.0,26.0,2.0,27.0,20.0,1.0,14.0,0.0,29.0,19.0,13.0,23.0,11.0,5.0,28.0,34.0,27.0,21.0,29.0,13.0,31.0,54.0,49.0,35.0,25.0,44.0,47.0,49.0,18.0,47.0,30.0,40.0,41.0,34.0,43.0,33.0,42.0,27.0,19.0,25.0,17.0,49.0,57.0,51.0,29.0,30.0,27.0,39.0,35.0,34.0,34.0,17.0,27.0,3.0,28.0,21.0,2.0,15.0,1.0,30.0,20.0,14.0,12.0,29.0,21.0,19.0,11.0,16.0,14.0,53.0,50.0,48.0,39.0,24.0,22.0,29.0,26.0,47.0,44.0,46.0,41.0,43.0,46.0,35.0,33.0,36.0,34.0,28.0,25.0,33.0,31.0,22.0,40.0,37.0,41.0,38.0,38.0,35.0,32.0,25.0,27.0,29.0,27.0,20.0,22.0,24.0,52.0,48.0,50.0,56.0,32.0,32.0,50.0,31.0,33.0,49.0,43.0,44.0,41.0,35.0,30.0,26.0,35.0,20.0
m54,33.0,37.0,22.0,40.0,23.0,41.0,33.0,31.0,50.0,10.0,8.0,16.0,22.0,29.0,66.0,24.0,35.0,8.0,35.0,24.0,30.0,36.0,29.0,19.0,18.0,25.0,44.0,7.0,13.0,19.0,46.0,21.0,31.0,4.0,16.0,33.0,35.0,16.0,19.0,57.0,37.0,29.0,48.0,6.0,9.0,50.0,42.0,30.0,33.0,44.0,5.0,60.0,26.0,12.0,15.0,52.0,31.0,34.0,18.0,7.0,32.0,3.0,21.0,36.0,54.0,4.0,13.0,3.0,27.0,2.0,9.0,28.0,15.0,29.0,0.0,10.0,16.0,52.0,18.0,34.0,1.0,63.0,56.0,50.0,58.0,42.0,60.0,29.0,20.0,26.0,16.0,17.0,22.0,20.0,43.0,18.0,27.0,17.0,16.0,23.0,14.0,24.0,15.0,30.0,22.0,32.0,24.0,24.0,32.0,22.0,32.0,31.0,34.0,10.0,6.0,7.0,5.0,14.0,4.0,28.0,3.0,10.0,29.0,16.0,30.0,1.0,11.0,17.0,19.0,2.0,50.0,48.0,40.0,45.0,43.0,30.0,27.0,25.0,30.0,49.0,47.0,54.0,51.0,36.0,33.0,37.0,32.0,34.0,43.0,38.0,36.0,37.0,35.0,55.0,52.0,40.0,38.0,19.0,43.0,40.0,42.0,39.0,45.0,42.0,61.0,54.0,56.0,58.0,56.0,49.0,51.0,53.0,25.0,21.0,23.0,33.0,9.0,57.0,39.0,58.0,8.0,40.0,46.0,45.0,48.0,64.0,59.0,15.0,6.0,21.0
m55,23.0,27.0,32.0,30.0,27.0,31.0,39.0,23.0,40.0,20.0,14.0,6.0,12.0,19.0,56.0,14.0,25.0,16.0,25.0,34.0,20.0,26.0,19.0,23.0,24.0,17.0,34.0,17.0,3.0,9.0,36.0,11.0,21.0,12.0,26.0,23.0,25.0,6.0,9.0,47.0,27.0,21.0,38.0,10.0,13.0,40.0,32.0,20.0,23.0,34.0,11.0,50.0,32.0,4.0,7.0,42.0,21.0,24.0,8.0,15.0,22.0,13.0,11.0,26.0,44.0,14.0,3.0,7.0,17.0,8.0,1.0,18.0,5.0,19.0,10.0,0.0,6.0,42.0,8.0,24.0,9.0,53.0,46.0,40.0,48.0,32.0,50.0,35.0,30.0,16.0,6.0,25.0,28.0,30.0,33.0,28.0,17.0,21.0,22.0,15.0,24.0,14.0,23.0,20.0,12.0,22.0,14.0,30.0,38.0,32.0,22.0,21.0,24.0,20.0,16.0,15.0,15.0,4.0,8.0,18.0,9.0,2.0,19.0,6.0,20.0,11.0,1.0,7.0,9.0,10.0,40.0,38.0,30.0,35.0,33.0,34.0,31.0,29.0,20.0,39.0,37.0,44.0,41.0,28.0,25.0,27.0,22.0,24.0,33.0,28.0,26.0,27.0,25.0,45.0,42.0,30.0,28.0,9.0,33.0,30.0,32.0,29.0,35.0,32.0,51.0,44.0,46.0,48.0,46.0,39.0,41.0,43.0,33.0,29.0,31.0,37.0,13.0,47.0,31.0,48.0,14.0,30.0,36.0,35.0,38.0,54.0,49.0,7.0,16.0,11.0
m56,17.0,21.0,38.0,30.0,33.0,25.0,45.0,29.0,34.0,26.0,20.0,12.0,6.0,15.0,50.0,8.0,19.0,22.0,19.0,40.0,14.0,20.0,19.0,29.0,30.0,23.0,28.0,23.0,9.0,3.0,30.0,5.0,15.0,18.0,32.0,23.0,25.0,6.0,9.0,41.0,27.0,27.0,32.0,16.0,19.0,34.0,26.0,14.0,17.0,28.0,17.0,44.0,38.0,10.0,13.0,36.0,15.0,18.0,4.0,21.0,16.0,19.0,7.0,20.0,38.0,20.0,3.0,13.0,11.0,14.0,7.0,12.0,1.0,13.0,16.0,6.0,0.0,36.0,2.0,18.0,15.0,47.0,40.0,34.0,42.0,26.0,44.0,41.0,36.0,22.0,12.0,31.0,34.0,36.0,27.0,34.0,17.0,27.0,28.0,21.0,30.0,20.0,29.0,14.0,6.0,16.0,8.0,36.0,44.0,38.0,16.0,17.0,18.0,26.0,22.0,21.0,21.0,4.0,14.0,12.0,15.0,8.0,13.0,2.0,14.0,17.0,7.0,1.0,3.0,16.0,34.0,32.0,24.0,29.0,27.0,40.0,37.0,35.0,26.0,33.0,31.0,38.0,35.0,34.0,31.0,33.0,28.0,30.0,33.0,22.0,20.0,23.0,21.0,39.0,36.0,24.0,22.0,9.0,27.0,24.0,28.0,25.0,29.0,26.0,45.0,38.0,40.0,42.0,40.0,33.0,35.0,37.0,39.0,35.0,37.0,43.0,19.0,41.0,37.0,42.0,20.0,36.0,30.0,31.0,32.0,48.0,43.0,13.0,22.0,7.0
m57,25.0,17.0,42.0,34.0,37.0,11.0,49.0,33.0,14.0,62.0,44.0,48.0,42.0,23.0,14.0,40.0,19.0,58.0,17.0,44.0,22.0,16.0,23.0,33.0,34.0,27.0,8.0,59.0,45.0,39.0,6.0,37.0,23.0,54.0,36.0,27.0,29.0,42.0,33.0,17.0,31.0,31.0,12.0,52.0,43.0,10.0,10.0,28.0,19.0,8.0,53.0,20.0,42.0,46.0,37.0,12.0,27.0,18.0,40.0,57.0,26.0,55.0,31.0,16.0,14.0,56.0,39.0,49.0,25.0,50.0,43.0,24.0,37.0,23.0,52.0,42.0,36.0,0.0,34.0,18.0,51.0,11.0,4.0,2.0,6.0,10.0,8.0,45.0,40.0,26.0,36.0,35.0,38.0,40.0,9.0,42.0,25.0,35.0,36.0,29.0,38.0,28.0,37.0,22.0,30.0,20.0,28.0,40.0,48.0,42.0,20.0,21.0,18.0,50.0,46.0,45.0,57.0,40.0,50.0,26.0,51.0,44.0,25.0,38.0,24.0,53.0,43.0,37.0,35.0,52.0,2.0,4.0,12.0,7.0,9.0,44.0,41.0,39.0,30.0,15.0,13.0,20.0,17.0,38.0,35.0,37.0,32.0,34.0,37.0,26.0,24.0,27.0,25.0,19.0,16.0,24.0,22.0,45.0,31.0,28.0,32.0,29.0,29.0,26.0,13.0,6.0,8.0,10.0,18.0,11.0,13.0,15.0,43.0,39.0,41.0,47.0,55.0,23.0,41.0,22.0,56.0,40.0,34.0,35.0,32.0,16.0,21.0,49.0,58.0,43.0
